capture_id,n,pos,neg,accuracy,recall,precision,fpr,tp,fp,fn,tn,avg_score
nonvpn_rdp_capture1,12,0,12,0.75,0.0,0.0,0.25,0,3,0,9,0.06333333333333332
nonvpn_rdp_capture_5,20,0,20,0.85,0.0,0.0,0.15,0,3,0,17,0.033999999999999996
nonvpn_rsync_capture1,1796,0,1796,0.9994432071269488,0.0,0.0,0.0005567928730512249,0,1,0,1795,0.000380011135857461
nonvpn_scp_capture1,2148,0,2148,1.0,0.0,0.0,0.0,0,0,0,2148,0.00036080074487895717
nonvpn_sftp_capture1,124,0,124,1.0,0.0,0.0,0.0,0,0,0,124,0.00016129032258064516
nonvpn_sftp_capture3,432,0,432,1.0,0.0,0.0,0.0,0,0,0,432,0.0002604166666666667
nonvpn_sftp_newcapture2,1286,0,1286,1.0,0.0,0.0,0.0,0,0,0,1286,2.7216174183514778e-05
nonvpn_skype-chat_capture10,40,0,40,1.0,0.0,0.0,0.0,0,0,0,40,0.0
nonvpn_skype-chat_capture17,48,0,48,1.0,0.0,0.0,0.0,0,0,0,48,0.0
nonvpn_skype-chat_capture18,44,0,44,1.0,0.0,0.0,0.0,0,0,0,44,0.00011363636363636364
nonvpn_skype-chat_capture20,60,0,60,1.0,0.0,0.0,0.0,0,0,0,60,8.333333333333333e-05
nonvpn_skype-chat_capture27,70,0,70,1.0,0.0,0.0,0.0,0,0,0,70,3.571428571428572e-05
nonvpn_skype-chat_capture28,52,0,52,1.0,0.0,0.0,0.0,0,0,0,52,9.615384615384615e-05
nonvpn_skype-chat_capture31,82,0,82,1.0,0.0,0.0,0.0,0,0,0,82,0.0
nonvpn_skype-chat_capture32,40,0,40,1.0,0.0,0.0,0.0,0,0,0,40,0.000125
nonvpn_skype-chat_capture34,50,0,50,1.0,0.0,0.0,0.0,0,0,0,50,0.0
nonvpn_skype-chat_capture37,36,0,36,1.0,0.0,0.0,0.0,0,0,0,36,0.0001388888888888889
nonvpn_skype-chat_capture40,42,0,42,1.0,0.0,0.0,0.0,0,0,0,42,0.00017857142857142857
nonvpn_skype-chat_capture41,34,0,34,1.0,0.0,0.0,0.0,0,0,0,34,0.0005882352941176471
nonvpn_skype-chat_capture48,46,0,46,1.0,0.0,0.0,0.0,0,0,0,46,0.0002173913043478261
nonvpn_skype-chat_capture50,42,0,42,1.0,0.0,0.0,0.0,0,0,0,42,0.0
nonvpn_skype-chat_capture53,40,0,40,1.0,0.0,0.0,0.0,0,0,0,40,6.25e-05
nonvpn_skype-chat_capture7,46,0,46,1.0,0.0,0.0,0.0,0,0,0,46,0.0003260869565217391
nonvpn_skype-chat_capture8,36,0,36,1.0,0.0,0.0,0.0,0,0,0,36,0.00041666666666666664
nonvpn_ssh_capture2,350,0,350,1.0,0.0,0.0,0.0,0,0,0,350,0.0
nonvpn_vimeo_capture1,2434,0,2434,0.9963023829087921,0.0,0.0,0.0036976170912078883,0,9,0,2425,0.0009665160230073952
nonvpn_voip_capture2,211,0,211,0.9715639810426541,0.0,0.0,0.02843601895734597,0,6,0,205,0.006409952606635071
nonvpn_youtube_capture3,248,0,248,0.9838709677419355,0.0,0.0,0.016129032258064516,0,4,0,244,0.002086693548387097
nonvpn_youtube_capture4,148,0,148,1.0,0.0,0.0,0.0,0,0,0,148,0.002635135135135135
vpn_rdp_capture_3,4,4,0,1.0,1.0,1.0,,4,0,0,0,0.88
vpn_scp_capture1,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.90375
vpn_sftp_capture3,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.97125
vpn_sftp_capture5,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9524999999999999
vpn_skype-chat_capture11,2,2,0,1.0,1.0,1.0,,2,0,0,0,1.0
vpn_skype-chat_capture13,2,2,0,1.0,1.0,1.0,,2,0,0,0,1.0
vpn_skype-chat_capture17,2,2,0,1.0,1.0,1.0,,2,0,0,0,1.0
vpn_skype-chat_capture20,2,2,0,1.0,1.0,1.0,,2,0,0,0,1.0
vpn_skype-chat_capture21,2,2,0,1.0,1.0,1.0,,2,0,0,0,1.0
vpn_skype-chat_capture24,2,2,0,1.0,1.0,1.0,,2,0,0,0,1.0
vpn_skype-chat_capture26,2,2,0,1.0,1.0,1.0,,2,0,0,0,1.0
vpn_skype-chat_capture27,2,2,0,1.0,1.0,1.0,,2,0,0,0,1.0
vpn_skype-chat_capture29,2,2,0,1.0,1.0,1.0,,2,0,0,0,1.0
vpn_skype-chat_capture3,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.98875
vpn_skype-chat_capture31,2,2,0,1.0,1.0,1.0,,2,0,0,0,1.0
vpn_skype-chat_capture34,2,2,0,1.0,1.0,1.0,,2,0,0,0,1.0
vpn_skype-chat_capture37,2,2,0,1.0,1.0,1.0,,2,0,0,0,1.0
vpn_skype-chat_capture41,2,2,0,1.0,1.0,1.0,,2,0,0,0,1.0
vpn_skype-chat_capture46,2,2,0,1.0,1.0,1.0,,2,0,0,0,1.0
vpn_skype-chat_capture49,2,2,0,1.0,1.0,1.0,,2,0,0,0,1.0
vpn_skype-chat_capture51,2,2,0,1.0,1.0,1.0,,2,0,0,0,1.0
vpn_skype-chat_capture54,2,2,0,1.0,1.0,1.0,,2,0,0,0,1.0
vpn_skype-chat_capture55,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9962500000000001
vpn_skype-chat_capture7,2,2,0,1.0,1.0,1.0,,2,0,0,0,1.0
vpn_skype-chat_capture9,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.99
vpn_ssh_capture3,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.77625
vpn_voip_capture3,116,116,0,1.0,1.0,1.0,,116,0,0,0,0.9857974137931033
